Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
51933429,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",0,3.85,William Morrow,Hardcover,330,2020,2020,,2022/03/13,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
52692515,There's No Such Thing as an Easy Job,Kikuko Tsumura,"Tsumura, Kikuko",Polly Barton,"=""1526622246""","=""9781526622242""",0,3.66,Bloomsbury Publishing,Paperback,416,2020,2015,,2022/03/13,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",0,4.09,Dial Press,Paperback,275,1999,1969,,2022/03/13,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
35074096,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,"=""0718188721""","=""9780718188726""",0,4.27,Michael Joseph,Hardcover,416,2017,2017,,2022/03/13,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
49454725,Vagabonds,Hao Jingfang,"Jingfang, Hao",Ken Liu,"=""1534422080""","=""9781534422087""",0,3.44,Gallery / Saga Press,Hardcover,640,2020,2016,,2022/03/13,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
60190088,Ice Crash: Antarctica,Lynda Engler,"Engler, Lynda",,"=""""","=""""",0,4.46,,Kindle Edition,,2022,,,2022/03/13,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
58890948,Hide,Kiersten White,"White, Kiersten",,"=""0593359232""","=""9780593359235""",0,3.59,Del Rey Books,Hardcover,256,2022,2022,,2022/03/13,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
57693430,A Brush with Love,Mazey Eddings,"Eddings, Mazey",,"=""1250805988""","=""9781250805980""",0,3.84,St. Martin's Griffin,Paperback,336,2022,2022,,2022/03/13,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
58429255,Meet Me in the Margins,Melissa    Ferguson,"Ferguson, Melissa",,"=""0785231072""","=""9780785231073""",0,3.66,Thomas Nelson,Paperback,320,2022,2022,,2022/03/13,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
54238295,A Pho Love Story,Loan Le,"Le, Loan",,"=""153444193X""","=""9781534441934""",0,3.72,Simon  Schuster Books for Young Readers,Hardcover,402,2021,2021,,2022/03/13,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
58505877,Run Rose Run,Dolly Parton,"Parton, Dolly",James Patterson,"=""075955434X""","=""9780759554344""",0,3.98,"Little, Brown and Company",Hardcover,439,2022,2022,,2022/03/13,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
5966829,A Moveable Feast: The Restored Edition,Ernest Hemingway,"Hemingway, Ernest","Seán Hemingway, Patrick Hemingway","=""1416591311""","=""9781416591313""",4,4.02,Scribner,Hardcover,236,2009,1964,2022/03/13,2022/03/12,,,read,,,,1,,,0,,,,,
9542311,Packing for Mars: The Curious Science of Life in the Void,Mary Roach,"Roach, Mary",,"=""0393339912""","=""9780393339918""",0,3.94,W. W. Norton  Company,Paperback,334,2011,2010,,2022/03/06,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",4,4.08,Ballantine Books,Hardcover,369,2021,2021,2022/03/06,2022/03/03,,,read,,,,1,,,0,,,,,
37944800,On Writing: A Memoir of the Craft,Stephen King,"King, Stephen",,"=""1508220301""","=""9781508220305""",5,4.33,Simon and Schuster Audio,Audiobook,8,2016,2000,2022/03/02,2022/02/26,favorites,favorites (#19),read,"Every single time I come back to ‘On Writing’, I come away with something different and new that I can apply to my own writing. I cannot fault this book – it works for all writers whether you’re well-versed or a little green, whether you write prose or ad copy. And I especially love the audiobook – King’s delivery is even wittier in this format.",,,1,,,0,,,,,
56026907,Nightmare Scenario: Inside the Trump Administration's Response to the Pandemic That Changed History,Yasmeen Abutaleb,"Abutaleb, Yasmeen",Damian Paletta,"=""006306605X""","=""9780063066052""",0,4.31,Harper,Hardcover,496,2021,2021,,2022/03/01,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
58203328,Midnight in Washington: How We Almost Lost Our Democracy and Still Could,Adam Schiff,"Schiff, Adam",,"=""""","=""""",0,4.58,,Kindle Edition,,2021,2021,,2022/03/01,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,,2022/03/01,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",0,4.34,Berkley Books,Paperback,352,2021,2021,,2022/03/01,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
52454426,Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,"Brooks, Max",,"=""1984826786""","=""9781984826787""",0,3.92,Del Rey Books,Hardcover,286,2020,2020,,2022/03/01,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
53402402,The President's Daughter,Bill Clinton,"Clinton, Bill",James Patterson,"=""0316540714""","=""9780316540711""",0,4.29,"Little, Brown and Company and Knopf",Hardcover,594,2021,2021,,2022/03/01,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
58412441,I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year,Carol Leonnig,"Leonnig, Carol",Philip Rucker,"=""""","=""""",0,4.41,,Kindle Edition,476,2021,2021,,2022/03/01,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",4,4.25,Del Rey,Hardcover,382,2014,2014,2022/02/28,2022/02/26,,,read,,,,1,,,0,,,,,
53733106,No One Is Talking About This,Patricia Lockwood,"Lockwood, Patricia",,"=""0593189582""","=""9780593189580""",4,3.61,Riverhead Books,Hardcover,210,2021,2021,2022/02/26,2022/02/22,,,read,,,,1,,,0,,,,,
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",5,4.15,Crown Publishing Group (NY),Hardcover,329,2019,2019,2021/08/25,2021/08/24,favorites,favorites (#16),read,,,,1,,,0,,,,,
