Title,Author,Average Goodreads Rating,Number of Pages
Countdown 1945: The Extraordinary Story of the 116 Days that Changed the World,Chris Wallace,4.22,320
If It Bleeds,Stephen King,4.02,436
Agency,William Gibson,3.79,402
The Space Between Worlds,Micaiah Johnson,3.98,329
Shuggie Bain,Douglas   Stuart,4.33,430
Utopia Avenue,David Mitchell,4.01,574
The Vanishing Half,Brit Bennett,4.19,343
A Slow Fire Burning,Paula Hawkins,3.51,307
Local Woman Missing,Mary Kubica,4.12,352
"Arsenic and Adobo (Tita Rosie's Kitchen Mystery, #1)",Mia P. Manansala,3.57,316
Cloud Cuckoo Land,Anthony Doerr,4.29,626
The Book of Accidents,Chuck Wendig,3.81,530
Termination Shock,Neal Stephenson,3.88,720
The End of Men,Christina Sweeney-Baird,3.84,416
"Neon Gods (Dark Olympus, #1)",Katee Robert,3.74,380
The Spanish Love Deception,Elena  Armas,4.05,482
"Neuromancer (Sprawl, #1)",William Gibson,3.90,292
Snow Crash,Neal Stephenson,4.03,559
Brave New World,Aldous Huxley,3.99,268
11/22/63,Stephen King,4.31,849
The Guest List,Lucy Foley,3.85,330
There's No Such Thing as an Easy Job,Kikuko Tsumura,3.66,416
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,275
"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,4.27,416
Vagabonds,Hao Jingfang,3.44,640
Ice Crash: Antarctica,Lynda Engler,4.46,
Hide,Kiersten White,3.56,256
A Brush with Love,Mazey Eddings,3.84,336
Meet Me in the Margins,Melissa    Ferguson,3.66,320
A Pho Love Story,Loan Le,3.72,402
Run Rose Run,Dolly Parton,3.98,439
A Moveable Feast: The Restored Edition,Ernest Hemingway,4.02,236
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,3.94,334
Malibu Rising,Taylor Jenkins Reid,4.08,369
On Writing: A Memoir of the Craft,Stephen King,4.33,8
Nightmare Scenario: Inside the Trump Administration's Response to the Pandemic That Changed History,Yasmeen Abutaleb,4.31,496
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,Adam Schiff,4.58,
Circe,Madeline Miller,4.26,393
The Love Hypothesis,Ali Hazelwood,4.34,352
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,3.92,286
The President's Daughter,Bill Clinton,4.29,594
I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year,Carol Leonnig,4.41,476
"Red Rising (Red Rising Saga, #1)",Pierce Brown,4.25,382
No One Is Talking About This,Patricia Lockwood,3.61,210
Recursion,Blake Crouch,4.15,329
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,491
1984,George Orwell,4.19,298
The Martian,Andy Weir,4.41,384
Dark Matter,Blake Crouch,4.12,340
Project Hail Mary,Andy Weir,4.52,476
Convenience Store Woman,Sayaka Murata,3.72,163
Falling,T.J. Newman,3.89,304
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.48,223
Daisy Jones & The Six,Taylor Jenkins Reid,4.24,355
The Memory Police,Yōko Ogawa,3.75,274
Miss Iceland,Auður Ava Ólafsdóttir,3.90,256
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.48,389
Outlawed,Anna North,3.56,261
In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,4.46,273
Klara and the Sun,Kazuo Ishiguro,3.78,303
The Night Circus,Erin Morgenstern,4.03,387
The Silent Patient,Alex Michaelides,4.15,325
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,3.75,213
"Kim Jiyoung, Born 1982",Cho Nam-Joo,4.18,163
Mrs England,Stacey Halls,4.01,424
Escape from Earth: A Secret History of the Space Rocket,Fraser MacDonald,3.79,384
Skin of the Sea (Skin of the Sea #1),Natasha Bowen,3.83,336
Speak Your Truth: Connecting With Your Inner Truth and Learning to Find Your Voice,Fearne Cotton,3.87,181
Piranesi,Susanna Clarke,4.27,245
Ace of Spades,Faridah Àbíké-Íyímídé,4.28,470
The Lighthouse Witches,C.J.  Cooke,4.00,350
Norse Mythology,Neil Gaiman,4.09,301
"Hercule Poirot's Christmas (Hercule Poirot, #20)",Agatha Christie,3.98,335
The Maidens,Alex Michaelides,3.63,337
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,759
The Midnight Library,Matt Haig,4.05,288
"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,4.03,339
The Invisible Life of Addie LaRue,V.E. Schwab,4.23,444
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,652
Earthlings,Sayaka Murata,3.57,247
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,870
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,734
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,341
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,193
Silicon Values: The Future of Free Speech Under Surveillance Capitalism,Jillian York,3.65,288
"American Gods (American Gods, #1)",Neil Gaiman,4.11,635
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,435
The Devil All the Time,Donald Ray Pollock,4.12,261
Annihilation,Jeff VanderMeer,3.73,195
Fahrenheit 451,Ray Bradbury,3.98,194
Filth,Irvine Welsh,3.79,393
"BOX 88 (BOX 88, #1)",Charles Cumming,4.07,482
Acceptance,Jeff VanderMeer,3.62,341
"Wayward (Wayward Pines, #2)",Blake Crouch,4.14,298
"Pines (Wayward Pines, #1)",Blake Crouch,3.93,303
"The Last Town (Wayward Pines, #3)",Blake Crouch,4.09,294
The End of October,Lawrence Wright,3.75,380
The Innovators by Walter Isaacson | Conversation Starters,Daily Books,4.20,67
Steve Jobs: A Biographic Portrait of the Genius of,Kevin Lynch,3.99,272
Everything You Really Need to Know About Politics: My Life as an MP,Jess Phillips,4.23,
The Plague Year: America in the Time of Covid,Lawrence Wright,4.13,336
"Checkpoint Charlie: The Cold War, The Berlin Wall, and the Most Dangerous Place On Earth",Iain MacGregor,3.92,352
Doctor Sleep,Stephen King,4.12,531
The Shining,Stephen King,4.25,659
The Ministry for the Future,Kim Stanley Robinson,3.88,563
"Terminus (Threshold, #4)",Peter Clines,3.87,
"Dead Moon (Threshold, #3)",Peter Clines,3.47,400
"The Fold (Threshold, #2)",Peter Clines,3.87,384
"14 (Threshold, #1)",Peter Clines,3.96,372
Defending Jacob,William Landay,3.99,421
Year Zero,Rob  Reid,3.60,364
"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,4.31,608
"For We Are Many (Bobiverse, #2)",Dennis E. Taylor,4.37,9
"All These Worlds (Bobiverse, #3)",Dennis E. Taylor,4.41,260
"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,4.28,383
An Astronaut's Guide to Life on Earth,Chris Hadfield,4.15,295
"Green Mars (Mars Trilogy, #2)",Kim Stanley Robinson,3.95,624
"Blue Mars (Mars Trilogy, #3)",Kim Stanley Robinson,3.94,768
"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,3.86,572
Pet Sematary,Stephen King,4.03,580
"The Boy on the Bridge (The Girl With All the Gifts, #2)",M.R. Carey,3.96,369
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,3.95,461
The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,4.07,399
Ethel Rosenberg: An American Tragedy,Anne Sebba,3.91,320
The Man in the High Castle,Philip K. Dick,3.61,259
"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.28,561
Ready Player Two,Ernest Cline,3.43,370
Ready Player One,Ernest Cline,4.24,374
This Is a Call: The Life and Times of Dave Grohl,Paul Brannigan,3.69,416
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.04,454
Dune,Frank Herbert,4.25,658
Artemis,Andy Weir,3.68,305
